Date,China,US,United_Kingdom,Italy,France,Germany,Spain,Iran
22/01/2020,548,1,0,0,0,0,0,0
23/01/2020,643,1,0,0,0,0,0,0
24/01/2020,920,2,0,0,2,0,0,0
25/01/2020,1406,2,0,0,3,0,0,0
26/01/2020,2075,5,0,0,3,0,0,0
27/01/2020,2877,5,0,0,3,1,0,0
28/01/2020,5509,5,0,0,4,4,0,0
29/01/2020,6087,5,0,0,5,4,0,0
30/01/2020,8141,5,0,0,5,4,0,0
31/01/2020,9802,7,2,2,5,5,0,0
01/02/2020,11891,8,2,2,6,8,1,0
02/02/2020,16630,8,2,2,6,10,1,0
03/02/2020,19716,11,2,2,6,12,1,0
04/02/2020,23707,11,2,2,6,12,1,0
05/02/2020,27440,11,2,2,6,12,1,0
06/02/2020,30587,11,2,2,6,12,1,0
07/02/2020,34110,11,3,3,6,13,1,0
08/02/2020,36814,11,3,3,11,13,1,0
09/02/2020,39829,11,3,3,11,14,2,0
10/02/2020,42354,11,8,3,11,14,2,0
11/02/2020,44386,12,8,3,11,16,2,0
12/02/2020,44759,12,9,3,11,16,2,0
13/02/2020,59895,13,9,3,11,16,2,0
14/02/2020,66358,13,9,3,11,16,2,0
15/02/2020,68413,13,9,3,12,16,2,0
16/02/2020,70513,13,9,3,12,16,2,0
17/02/2020,72434,13,9,3,12,16,2,0
18/02/2020,74211,13,9,3,12,16,2,0
19/02/2020,74619,13,9,3,12,16,2,2
20/02/2020,75077,13,9,3,12,16,2,5
21/02/2020,75550,15,9,20,12,16,2,18
22/02/2020,77001,15,9,62,12,16,2,28
23/02/2020,77022,15,9,155,12,16,2,43
24/02/2020,77241,51,13,229,12,16,2,61
25/02/2020,77754,51,13,322,14,17,6,95
26/02/2020,78166,57,13,453,18,27,13,139
27/02/2020,78600,58,15,655,38,46,15,245
28/02/2020,78928,60,20,888,57,48,32,388
29/02/2020,79356,68,23,1128,100,79,45,593
01/03/2020,79932,74,36,1694,130,130,84,978
02/03/2020,80136,98,40,2036,191,159,120,1501
03/03/2020,80261,118,51,2502,204,196,165,2336
04/03/2020,80386,149,86,3089,288,262,222,2922
05/03/2020,80537,217,116,3858,380,482,259,3513
06/03/2020,80690,262,164,4636,656,670,400,4747
07/03/2020,80770,402,207,5883,959,799,500,5823
08/03/2020,80823,518,274,7375,1136,1040,673,6566
09/03/2020,80860,583,322,9172,1219,1176,1073,7161
10/03/2020,80887,959,384,10149,1794,1457,1695,8042
11/03/2020,80921,1281,459,12462,2293,1908,2277,9000
12/03/2020,80932,1663,459,12462,2293,2078,2277,10075
13/03/2020,80945,2179,802,17660,3681,3675,5232,11364
14/03/2020,80977,2727,1144,21157,4496,4585,6391,12729
15/03/2020,81003,3499,1145,24747,4532,5795,7798,13938
16/03/2020,81033,4632,1551,27980,6683,7272,9942,14991
17/03/2020,81058,6421,1960,31506,7715,9257,11748,16169
18/03/2020,81102,7783,2642,35713,9124,12327,13910,17361
19/03/2020,81156,13677,2716,41035,10970,15320,17963,18407
20/03/2020,81250,19100,4014,47021,12758,19848,20410,19644
21/03/2020,81305,25489,5067,53578,14463,22213,25374,20610
22/03/2020,81435,33276,5745,59138,16243,24873,28768,21638
23/03/2020,81498,43847,6726,63927,20123,29056,35136,23049
24/03/2020,81591,53740,8164,69176,22622,32986,39885,24811
25/03/2020,81661,65778,9640,74386,25600,37323,49515,27017
26/03/2020,81782,83836,11812,80589,29551,43938,57786,29406
27/03/2020,81897,101657,14745,86498,33402,50871,65719,32332
28/03/2020,81999,121478,17312,92472,38105,57695,73235,35408
29/03/2020,82122,140886,19780,97689,40708,62095,80110,38309
30/03/2020,82198,161807,22453,101739,45170,66885,87956,41495
